NAME                                    READY   STATUS     RESTARTS   AGE
notification-service-758488686f-sw29v   0/1     Error              3 (38s ago)   5m17s
rewards-service-6b4b687997-pgcvd        0/1     Error              4             5m47s
transaction-service-8cdc97998-7zcvk     0/1     Error              3             5m32s
transaction-service-8cdc97998-7zcvk     0/1     Error              3             5m32s
notification-service-758488686f-sw29v   0/1     Error              3 (38s ago)   5m17s
notification-service-758488686f-sw29v   0/1     Error              3 (38s ago)   5m17s
transaction-service-5445767f6b-9xfzc    0/1     Pending            0             1s
rewards-service-6b4b687997-pgcvd        0/1     Error              4             5m48s
rewards-service-6b4b687997-pgcvd        0/1     Error              4             5m48s
transaction-service-5445767f6b-9xfzc    0/1     Pending            0             1s
wallet-service-cdf664586-v5gfd          0/1     Error              3             5m43s
wallet-service-cdf664586-v5gfd          0/1     Error              3             5m43s
payment-service-659659875-zpd8j         0/1     Error              3             5m49s
payment-service-659659875-zpd8j         0/1     Error              3             5m49s
notification-service-7b66cd6f8f-dzk5x   0/1     Pending            0             0s
notification-service-7b66cd6f8f-dzk5x   0/1     Pending            0             0s
transaction-service-5445767f6b-9xfzc    0/1     Init:0/1           0             1s
rewards-service-df546b9c7-f79j6         0/1     Pending            0             0s
rewards-service-df546b9c7-f79j6         0/1     Pending            0             0s
notification-service-7b66cd6f8f-dzk5x   0/1     Init:0/2           0             0s
rewards-service-df546b9c7-f79j6         0/1     Init:0/2           0             0s
wallet-service-667f6fd6fd-gptb4         0/1     Pending            0             0s
wallet-service-667f6fd6fd-gptb4         0/1     Pending            0             0s
payment-service-6cc97f568c-p4s6c        0/1     Pending            0             0s
payment-service-6cc97f568c-p4s6c        0/1     Pending            0             0s
wallet-service-667f6fd6fd-gptb4         0/1     Init:0/1           0             0s
payment-service-6cc97f568c-p4s6c        0/1     Init:0/2           0             0s
user-service-6bc99c8d97-dktts           0/1     PodInitializing    0             2s
transaction-service-5445767f6b-9xfzc    0/1     PodInitializing    0             3s
rewards-service-df546b9c7-f79j6         0/1     Init:1/2           0             2s
wallet-service-667f6fd6fd-gptb4         0/1     Init:0/1           0             2s
notification-service-7b66cd6f8f-dzk5x   0/1     Init:1/2           0             2s
wallet-service-667f6fd6fd-gptb4         0/1     PodInitializing    0             3s
notification-service-7b66cd6f8f-dzk5x   0/1     PodInitializing    0             3s
user-service-6bc99c8d97-dktts           0/1     Running            0             4s
rewards-service-df546b9c7-f79j6         0/1     Init:1/2           0             3s
transaction-service-5445767f6b-9xfzc    0/1     Running            0             5s
rewards-service-df546b9c7-f79j6         0/1     PodInitializing    0             4s
notification-service-7b66cd6f8f-dzk5x   0/1     Running            0             5s
wallet-service-667f6fd6fd-gptb4         0/1     Running            0             5s
rewards-service-df546b9c7-f79j6         0/1     Running            0             6s
kyc-service-684555864-nsfd8             0/1     Error              3 (78s ago)   5m47s
admin-service-768bfccdbb-tjg8k          0/1     Error              3 (82s ago)   6m17s
kyc-service-684555864-nsfd8             0/1     Error              3 (78s ago)   5m47s
kyc-service-684555864-nsfd8             0/1     Error              3 (78s ago)   5m47s
admin-service-768bfccdbb-tjg8k          0/1     Error              3 (82s ago)   6m17s
admin-service-768bfccdbb-tjg8k          0/1     Error              3 (82s ago)   6m17s
kyc-service-858cc454fb-2wbjz            0/1     Pending            0             0s
kyc-service-858cc454fb-2wbjz            0/1     Pending            0             0s
kyc-service-858cc454fb-2wbjz            0/1     Init:0/1           0             0s
admin-service-86864d7fc4-ddhv7          0/1     Pending            0             0s
admin-service-86864d7fc4-ddhv7          0/1     Pending            0             0s
admin-service-86864d7fc4-ddhv7          0/1     Init:0/1           0             0s
kyc-service-858cc454fb-2wbjz            0/1     PodInitializing    0             2s
admin-service-86864d7fc4-ddhv7          0/1     Init:0/1           0             2s
admin-service-86864d7fc4-ddhv7          0/1     PodInitializing    0             3s
kyc-service-858cc454fb-2wbjz            0/1     Running            0             4s
admin-service-86864d7fc4-ddhv7          0/1     Running            0             5s
payment-service-6cc97f568c-p4s6c        0/1     Init:0/2           0             39s
payment-service-6cc97f568c-p4s6c        0/1     Init:1/2           0             40s
payment-service-6cc97f568c-p4s6c        0/1     PodInitializing    0             41s
payment-service-6cc97f568c-p4s6c        0/1     Running            0             43s
rewards-service-df546b9c7-f79j6         0/1     Error              0             52s
rewards-service-df546b9c7-f79j6         0/1     Running            1 (3s ago)    54s
user-service-6bc99c8d97-dktts           0/1     Error              0             56s
user-service-6bc99c8d97-dktts           0/1     Running            1 (2s ago)    58s
